rank,RegionName,City,StateName,Metro,predicted_12m_appreciation
1,38720,Clarksdale,MS,"Clarksdale, MS",0.19816506
2,40210,Louisville,KY,"Louisville/Jefferson County, KY-IN",0.19297694
3,67485,Tipton,KS,,0.18875246
4,66951,Agra,KS,,0.18762758
5,67446,Glen Elder,KS,,0.18591776
6,67731,Bird City,KS,,0.18501818
7,67756,Saint Francis,KS,,0.18363845
8,66403,Axtell,KS,,0.18284148
9,59480,Stockett,MT,"Great Falls, MT",0.18096621
10,53206,Milwaukee,WI,"Milwaukee-Waukesha, WI",0.17966048
11,67656,Ogallah,KS,,0.17891797
12,27935,Eure,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",0.17578307
13,59032,Grass Range,MT,,0.17357655
14,38769,Rosedale,MS,"Cleveland, MS",0.17328298
15,17104,Harrisburg,PA,"Harrisburg-Carlisle, PA",0.17253603
16,39203,Jackson,MS,"Jackson, MS",0.1715114
17,59337,Jordan,MT,,0.16426031
18,27937,Gates,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",0.16392021
19,16343,Reno,PA,"Oil City, PA",0.16385975
20,69148,Lisco,NE,,0.16337536
21,70358,Grand Isle,LA,"New Orleans-Metairie, LA",0.16219257
22,65284,Sturgeon,MO,"Columbia, MO",0.16214703
23,59463,Monarch,MT,"Great Falls, MT",0.16207615
24,66554,Randolph,KS,"Manhattan, KS",0.16167559
25,39204,Jackson,MS,"Jackson, MS",0.16114792
26,27979,Hobbsville,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",0.16111325
27,69032,Hayes Center,NE,,0.16050948
28,39209,Jackson,MS,"Jackson, MS",0.15932934
29,47011,Bennington,IN,,0.15838361
30,47020,Florence,IN,,0.15768857
31,69352,Lyman,NE,"Scottsbluff, NE",0.15685382
32,18452,Peckville,PA,"Scranton--Wilkes-Barre, PA",0.15590346
33,10025,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.15574618
34,59416,Brady,MT,,0.15443434
35,74569,Stringtown,OK,,0.15414622
36,25045,Clendenin,WV,"Charleston, WV",0.1540135
37,59324,Ekalaka,MT,,0.15233068
38,65243,,MO,"Columbia, MO",0.14879389
39,76458,Jacksboro,TX,,0.14855164
40,39743,Crawford,MS,"Columbus, MS",0.14818856
41,66777,,KS,,0.14728414
42,64480,Rea,MO,"St. Joseph, MO-KS",0.14657335
43,59412,Belt,MT,"Great Falls, MT",0.1452767
44,25431,Levels,WV,"Winchester, VA-WV",0.14509422
45,59414,Black Eagle,MT,"Great Falls, MT",0.14477088
46,61564,Pekin,IL,"Peoria, IL",0.14439733
47,47043,Vevay,IN,,0.14407417
48,66008,Bendena,KS,"St. Joseph, MO-KS",0.14390028
49,59447,Geyser,MT,,0.14372756
50,63876,Senath,MO,"Kennett, MO",0.14281291
51,59087,Winnett,MT,,0.14256679
52,59465,Neihart,MT,"Great Falls, MT",0.14225768
53,66449,Leonardville,KS,"Manhattan, KS",0.1422126
54,19604,Reading,PA,"Reading, PA",0.14130615
55,66945,Hanover,KS,,0.14120148
56,45877,Pandora,OH,,0.14108427
57,6120,Hartford,CT,"Hartford-East Hartford-Middletown, CT",0.13958976
58,40472,Ravenna,KY,"Richmond-Berea, KY",0.13920961
59,59069,Reed Point,MT,"Billings, MT",0.13892274
60,52048,,IA,,0.1384366
61,27938,Gatesville,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",0.13818407
62,27946,Hobbsville,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",0.13787533
63,18447,Olyphant,PA,"Scranton--Wilkes-Barre, PA",0.13611491
64,67467,Minneapolis,KS,"Salina, KS",0.1359542
65,59472,Sand Coulee,MT,"Great Falls, MT",0.135809
66,63091,Rosebud,MO,"St. Louis, MO-IL",0.13574687
67,7603,Bogota,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.13543016
68,8066,West Deptford Township,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.13523956
69,61833,Danville,IL,"Danville, IL",0.13493523
70,39086,Utica,MS,"Jackson, MS",0.1344797
71,19601,Reading,PA,"Reading, PA",0.13443665
72,82732,Wright,WY,"Gillette, WY",0.13442703
73,47038,Patriot,IN,,0.13422346
74,77475,Hallettsville,TX,,0.13418165
75,46986,Swayzee,IN,"Marion, IN",0.13400403
76,83101,Kemmerer,WY,,0.1339539
77,27926,Corapeake,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",0.13390893
78,15444,Hiller,PA,"Pittsburgh, PA",0.13305816
79,10075,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.132987
80,63134,Berkeley,MO,"St. Louis, MO-IL",0.13230711
81,59489,,MT,,0.13190037
82,66094,White Cloud,KS,"St. Joseph, MO-KS",0.13189416
83,48745,Mikado,MI,,0.13062304
84,61842,Farmer City,IL,"Bloomington, IL",0.13025329
85,64436,Cosby,MO,"St. Joseph, MO-KS",0.12983884
86,59523,Chinook,MT,,0.12980609
87,68774,Saint Helena,NE,,0.12973249
88,54805,Almena,WI,,0.12921752
89,18444,Moscow,PA,"Scranton--Wilkes-Barre, PA",0.12889285
90,67867,Montezuma,KS,,0.12885724
91,64021,Corder,MO,"Kansas City, MO-KS",0.12865907
92,67876,Spearville,KS,"Dodge City, KS",0.12838548
93,10032,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.12800375
94,54440,Hatley,WI,"Wausau-Weston, WI",0.12757017
95,65345,Mora,MO,"Sedalia, MO",0.1272181
96,26722,Green Spring,WV,"Winchester, VA-WV",0.12697299
97,73601,Clinton,OK,"Weatherford, OK",0.12673825
98,67657,Palco,KS,,0.12634742
99,68020,Decatur,NE,,0.12614502
100,17931,Frackville,PA,"Pottsville, PA",0.12568852
101,65061,Morrison,MO,"Jefferson City, MO",0.1255532
102,6320,New London,CT,"Norwich-New London, CT",0.1253723
103,58474,Oakes,ND,,0.12533681
104,66783,Yates Center,KS,,0.12503976
105,46346,Kingsford Heights,IN,"Michigan City-La Porte, IN",0.12498452
106,65244,Clifton Hill,MO,"Moberly, MO",0.12465395
107,61956,Villa Grove,IL,"Champaign-Urbana, IL",0.12462495
108,63463,Philadelphia,MO,"Hannibal, MO",0.12390074
109,52072,Saint Olaf,IA,,0.123866715
110,68045,Oakland,NE,,0.12359443
111,49837,Gladstone,MI,"Escanaba, MI",0.12337445
112,59050,Lodge Grass,MT,,0.12291777
113,66968,Washington,KS,,0.12265654
114,59430,Denton,MT,,0.12264749
115,39179,Vaughan,MS,"Jackson, MS",0.12257391
116,67491,Windom,KS,"McPherson, KS",0.12247608
117,67757,Selden,KS,,0.1223479
118,40601,Frankfort,KY,"Frankfort, KY",0.12228223
119,60921,Chatsworth,IL,"Pontiac, IL",0.12216928
120,65014,Bland,MO,"Jefferson City, MO",0.122135036
121,64074,Bates City,MO,"Kansas City, MO-KS",0.122125454
122,53204,Milwaukee,WI,"Milwaukee-Waukesha, WI",0.12211306
123,72685,Western Grove,AR,"Harrison, AR",0.122090146
124,54930,Coloma,WI,,0.12184176
125,45831,Continental,OH,,0.12183468
126,18509,Scranton,PA,"Scranton--Wilkes-Barre, PA",0.121741615
127,39063,Durant,MS,"Jackson, MS",0.12158371
128,25504,Barboursville,WV,"Huntington-Ashland, WV-KY-OH",0.12130005
129,40118,Louisville,KY,"Louisville/Jefferson County, KY-IN",0.12115218
130,10037,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.12097855
131,61051,Milledgeville,IL,,0.12086776
132,41727,Chavies,KY,,0.1206274
133,24927,Marlinton,WV,,0.12009573
134,66532,,KS,"St. Joseph, MO-KS",0.12001399
135,60953,Milford,IL,,0.11996774
136,18504,Scranton,PA,"Scranton--Wilkes-Barre, PA",0.11943314
137,66943,Greenleaf,KS,,0.11934491
138,68820,,NE,"Grand Island, NE",0.119335614
139,11731,East Northport,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.11909567
140,66425,Fairview,KS,,0.11902647
141,68623,Belgrade,NE,,0.118856594
142,74533,Caney,OK,,0.11882809
143,39206,Jackson,MS,"Jackson, MS",0.11871359
144,38963,Tutwiler,MS,"Indianola, MS",0.11870883
145,54405,Abbotsford,WI,"Wausau-Weston, WI",0.11839465
146,62995,Vienna,IL,"Carbondale-Marion, IL",0.118350536
147,74555,,OK,,0.11827521
148,65325,Cole Camp,MO,,0.11823573
149,59417,Browning,MT,,0.118093334
150,82083,Rock River,WY,"Laramie, WY",0.11795765
151,39194,Yazoo City,MS,"Jackson, MS",0.11784731
152,66852,Gridley,KS,,0.117518015
153,44041,Geneva,OH,"Ashtabula, OH",0.11751172
154,64402,Albany,MO,,0.11750452
155,39652,Magnolia,MS,"McComb, MS",0.11740959
156,62540,Kincaid,IL,"Taylorville, IL",0.1173537
157,54424,Deerbrook,WI,,0.11727853
158,18709,Luzerne,PA,"Scranton--Wilkes-Barre, PA",0.11707336
159,67764,,KS,,0.11682982
160,8840,Metuchen,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.11670442
161,29042,Denmark,SC,,0.11668563
162,66401,,KS,"Topeka, KS",0.11649134
163,48894,Westphalia,MI,"Lansing-East Lansing, MI",0.116165936
164,49788,Kincheloe,MI,"Sault Ste. Marie, MI",0.11610056
165,47866,Pimento,IN,"Terre Haute, IN",0.116086476
166,66544,Vermillion,KS,,0.11585704
167,56535,Erskine,MN,"Grand Forks, ND-MN",0.11580172
168,47968,New Ross,IN,"Crawfordsville, IN",0.11567942
169,39657,Osyka,MS,"McComb, MS",0.11553399
170,52043,,IA,,0.1150982
171,29685,Sunset,SC,"Greenville-Anderson, SC",0.115025945
172,10017,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.114989474
173,38773,Shaw,MS,"Indianola, MS",0.11491279
174,82720,Hulett,WY,"Gillette, WY",0.114887275
175,45306,Botkins,OH,"Sidney, OH",0.11469705
176,47110,Corydon,IN,"Louisville/Jefferson County, KY-IN",0.114647664
177,40953,Bimble,KY,"London, KY",0.11462577
178,82244,Yoder,WY,,0.114541955
179,45346,New Madison,OH,"Greenville, OH",0.11415514
180,67420,Beloit,KS,,0.114094816
181,61755,Mackinaw,IL,"Peoria, IL",0.11399063
182,65040,Henley,MO,"Jefferson City, MO",0.11397779
183,38633,Hickory Flat,MS,,0.11384643
184,38080,Ridgely,TN,"Dyersburg, TN",0.11380909
185,59471,Roy,MT,,0.11360842
186,17981,Tremont,PA,"Pottsville, PA",0.11349543
187,47588,Evanston,IN,,0.113434814
188,67632,Damar,KS,,0.11337934
189,39213,Jackson,MS,"Jackson, MS",0.11331674
190,38650,Myrtle,MS,,0.113230005
191,82716,Gillette,WY,"Gillette, WY",0.11304237
192,39066,Edwards,MS,"Jackson, MS",0.11301143
193,87419,Navajo Dam,NM,"Farmington, NM",0.113010146
194,18634,Nanticoke,PA,"Scranton--Wilkes-Barre, PA",0.11276627
195,16613,Ashville,PA,"Johnstown, PA",0.112729125
196,69122,Big Springs,NE,,0.112694964
197,7087,Union City,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.11269009
198,43536,Mark Center,OH,"Defiance, OH",0.11261701
199,64427,Rosendale,MO,"St. Joseph, MO-KS",0.11259825
200,64001,Alma,MO,"Kansas City, MO-KS",0.11243769
201,56062,Madelia,MN,"Mankato, MN",0.11227793
202,39040,,MS,"Jackson, MS",0.11199011
203,23083,Jetersville,VA,"Richmond, VA",0.1119627
204,3258,Chichester,NH,"Concord, NH",0.11156553
205,66953,Linn,KS,,0.111343056
206,71957,Mount Ida,AR,,0.1113153
207,80737,Julesburg,CO,,0.111251675
208,61951,Sullivan,IL,,0.111214854
209,52076,,IA,,0.11118397
210,40510,Lexington,KY,"Lexington-Fayette, KY",0.11107873
211,8863,Fords,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.1110531
212,13162,Verona Beach,NY,"Utica-Rome, NY",0.11090992
213,25547,Logan,WV,"Mount Gay-Shamrock, WV",0.11078068
214,46035,Colfax,IN,"Frankfort, IN",0.11073986
215,45874,Ohio City,OH,"Van Wert, OH",0.11071717
216,51525,Carson,IA,"Omaha-Council Bluffs, NE-IA",0.11053346
217,55962,,MN,"Rochester, MN",0.1104877
218,61053,Mount Carroll,IL,,0.11047296
219,66736,Fredonia,KS,,0.11040923
220,53502,Albany,WI,"Madison, WI",0.11037433
221,47857,Knightsville,IN,"Terre Haute, IN",0.11025182
222,54891,Washburn,WI,,0.11024358
223,41171,,KY,,0.11019401
224,70344,Houma,LA,"Houma-Thibodaux, LA",0.109896965
225,54469,Port Edwards,WI,"Wisconsin Rapids-Marshfield, WI",0.109866865
226,67344,Elk City,KS,"Coffeyville, KS",0.10986562
227,42464,White Plains,KY,"Madisonville, KY",0.109662324
228,26146,Friendly,WV,,0.10961636
229,58656,Taylor,ND,"Dickinson, ND",0.10949889
230,54410,Arpin,WI,"Wisconsin Rapids-Marshfield, WI",0.10945329
231,58630,Gladstone,ND,"Dickinson, ND",0.109426945
232,38647,Michigan City,MS,,0.109375365
233,64449,Fillmore,MO,"St. Joseph, MO-KS",0.109106764
234,64071,Mayview,MO,"Kansas City, MO-KS",0.10910389
235,47348,Hartford City,IN,,0.1090984
236,51535,Griswold,IA,"Omaha-Council Bluffs, NE-IA",0.10881368
237,61616,Peoria Heights,IL,"Peoria, IL",0.10878071
238,11740,Greenlawn,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.10865164
239,31823,Pine Mountain Valley,GA,"Columbus, GA-AL",0.10860862
240,63133,Pagedale,MO,"St. Louis, MO-IL",0.1085764
241,40208,Louisville,KY,"Louisville/Jefferson County, KY-IN",0.1085316
242,63630,Cadet,MO,,0.108222306
243,8105,Camden,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.10820082
244,26291,Marlinton,WV,,0.10819474
245,74525,Atoka,OK,,0.10816238
246,66424,Everest,KS,"Atchison, KS",0.108131826
247,7017,East Orange,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.108089596
248,39341,Macon,MS,,0.108078286
249,47581,Shoals,IN,,0.10807419
250,66050,Lecompton,KS,"Lawrence, KS",0.10806588
251,66042,Richmond,KS,"Ottawa, KS",0.10796426
252,61014,Chadwick,IL,"Sterling, IL",0.107959785
253,69201,Valentine,NE,,0.10784942
254,13838,Sidney,NY,,0.10770324
255,61012,Capron,IL,"Rockford, IL",0.10767448
256,46902,Kokomo,IN,"Kokomo, IN",0.1075066
257,42167,Tompkinsville,KY,,0.10746601
258,60929,Cullom,IL,"Pontiac, IL",0.10743624
259,16214,Clarion,PA,,0.1073088
260,38655,Oxford,MS,"Oxford, MS",0.107200615
261,47862,Montezuma,IN,"Terre Haute, IN",0.10708305
262,64067,Lexington,MO,"Kansas City, MO-KS",0.10688967
263,40313,Clearfield,KY,,0.106851324
264,66770,Riverton,KS,,0.10678964
265,52156,Luana,IA,,0.106757425
266,40215,Louisville,KY,"Louisville/Jefferson County, KY-IN",0.10670688
267,44047,Jefferson,OH,"Ashtabula, OH",0.1066312
268,67849,Hanston,KS,,0.106500596
269,60901,Kankakee,IL,"Kankakee, IL",0.106380366
270,43037,Gambier,OH,"Mount Vernon, OH",0.106308386
271,46901,Kokomo,IN,"Kokomo, IN",0.106129155
272,8830,Iselin,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.106121294
273,8817,Edison,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.10609047
274,40943,Bimble,KY,"London, KY",0.10604484
275,61078,Shannon,IL,"Freeport, IL",0.10580727
276,67430,Cawker City,KS,,0.10571269
277,47921,Boswell,IN,"Lafayette-West Lafayette, IN",0.1057074
278,56081,Saint James,MN,,0.10570595
279,6360,Norwich,CT,"Norwich-New London, CT",0.10559132
280,93646,Orange Cove,CA,"Fresno, CA",0.10558606
281,59487,Vaughn,MT,"Great Falls, MT",0.10555501
282,67748,Oakley,KS,,0.10555105
283,53036,,WI,"Watertown-Fort Atkinson, WI",0.10549632
284,44032,Dorset,OH,"Ashtabula, OH",0.10536504
285,50609,Beaman,IA,"Waterloo-Cedar Falls, IA",0.10533741
286,59259,Richey,MT,,0.10528965
287,66901,Concordia,KS,,0.10524399
288,45333,Houston,OH,"Sidney, OH",0.105225146
289,24226,Clinchco,VA,,0.105221815
290,50680,Wellsburg,IA,"Waterloo-Cedar Falls, IA",0.105216876
291,65571,Summersville,MO,,0.105213046
292,59479,Stanford,MT,,0.1052083
293,47352,Lewisville,IN,"New Castle, IN",0.105087146
294,40906,Barbourville,KY,"London, KY",0.1050845
295,38627,Etta,MS,"Oxford, MS",0.105071574
296,67664,Prairie View,KS,,0.10504474
297,66967,Smith Center,KS,,0.10500247
298,10128,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.10497835
299,7463,Waldwick,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.10486554
300,45360,Port Jefferson,OH,"Sidney, OH",0.10483045
301,68827,Chapman,NE,"Grand Island, NE",0.10476108
302,7077,Sewaren,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.10472917
303,39212,Jackson,MS,"Jackson, MS",0.104614235
304,99835,Sitka,AK,,0.104557805
305,81630,De Beque,CO,"Glenwood Springs, CO",0.1044349
306,26761,Romney,WV,"Winchester, VA-WV",0.10442119
307,46150,Manilla,IN,"Indianapolis-Carmel-Anderson, IN",0.104331665
308,14802,Alfred,NY,,0.104235284
309,61533,Glasford,IL,"Peoria, IL",0.10421018
310,46057,Frankfort,IN,"Frankfort, IN",0.10420352
311,10044,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.10419871
312,11739,Great River,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.1041783
313,38673,Taylor,MS,"Oxford, MS",0.10415598
314,52054,,IA,,0.10409612
315,49725,,MI,"Sault Ste. Marie, MI",0.104089834
316,64483,Rosendale,MO,"St. Joseph, MO-KS",0.10404216
317,64084,Rayville,MO,"Kansas City, MO-KS",0.104007676
318,61356,Princeton,IL,"Ottawa, IL",0.1039898
319,25841,Flat Top,WV,"Bluefield, WV-VA",0.10397713
320,59739,Lima,MT,,0.10394223
321,10021,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.10382955
322,63673,Saint Mary,MO,,0.103814416
323,46407,Gary,IN,"Chicago-Naperville-Elgin, IL-IN-WI",0.10378068
324,61727,Clinton,IL,,0.10372146
325,23002,Amelia Court House,VA,"Richmond, VA",0.10365116
326,66510,Melvern,KS,"Topeka, KS",0.10342699
327,69210,Ainsworth,NE,,0.10332654
328,45898,Willshire,OH,"Van Wert, OH",0.10328757
329,25510,Culloden,WV,"Huntington-Ashland, WV-KY-OH",0.10327921
330,25508,Chapmanville,WV,"Mount Gay-Shamrock, WV",0.10317506
331,17103,Harrisburg,PA,"Harrisburg-Carlisle, PA",0.10316799
332,64866,,MO,"Joplin, MO",0.103076264
333,68932,Campbell,NE,"Kearney, NE",0.10304811
334,73848,Laverne,OK,,0.10303108
335,66834,Alta Vista,KS,"Topeka, KS",0.10302213
336,62082,Roodhouse,IL,"Jacksonville, IL",0.10300371
337,54125,Athelstane,WI,"Marinette, WI-MI",0.102996275
338,10065,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.10295032
339,54944,,WI,"Appleton, WI",0.10287799
340,46731,Craigville,IN,"Bluffton, IN",0.102816485
341,58552,Linton,ND,,0.10280386
342,47578,Sandborn,IN,"Vincennes, IN",0.102795295
343,25039,Cedar Grove,WV,"Charleston, WV",0.102734216
344,51023,Hawarden,IA,"Sioux City, IA-NE-SD",0.102670915
345,42345,Greenville,KY,"Central City, KY",0.102648094
346,92614,Irvine,CA,"Los Angeles-Long Beach-Anaheim, CA",0.102564126
347,67745,McDonald,KS,,0.102552176
348,60460,Odell,IL,"Pontiac, IL",0.10250413
349,38839,Derma,MS,,0.10246009
350,4929,Detroit,ME,,0.10242606
351,63461,Palmyra,MO,"Hannibal, MO",0.10235257
352,54962,Ogdensburg,WI,,0.10229742
353,65032,Eugene,MO,"Jefferson City, MO",0.10227632
354,42217,Crofton,KY,"Clarksville, TN-KY",0.102273576
355,46941,Lagro,IN,"Wabash, IN",0.10224694
356,61741,Forrest,IL,"Pontiac, IL",0.10224637
357,67839,Dighton,KS,,0.10220996
358,54303,Green Bay,WI,"Green Bay, WI",0.102209866
359,3235,Franklin,NH,"Concord, NH",0.102189325
360,64650,Kingston,MO,"Kansas City, MO-KS",0.10211577
361,19602,Reading,PA,"Reading, PA",0.102020636
362,52301,Marengo,IA,,0.10200859
363,71078,Stonewall,LA,"Shreveport-Bossier City, LA",0.101975925
364,67563,Offerle,KS,"Dodge City, KS",0.10195127
365,54162,Pulaski,WI,"Green Bay, WI",0.10193397
366,47438,Jasonville,IN,"Terre Haute, IN",0.10189329
367,51046,Paullina,IA,,0.10172849
368,57225,Clark,SD,,0.10171383
369,18336,Matamoras,PA,"New York-Newark-Jersey City, NY-NJ-PA",0.101706006
370,65734,Fairview,MO,,0.1016147
371,16511,Erie,PA,"Erie, PA",0.10152869
372,67070,Kiowa,KS,,0.10150581
373,12177,Tribes Hill,NY,"Amsterdam, NY",0.10149324
374,59483,Sun River,MT,"Great Falls, MT",0.10140863
375,39096,Fayette,MS,,0.10139072
376,1378,Warwick,MA,"Springfield, MA",0.1013725
377,67124,Pratt,KS,,0.101371266
378,39120,Natchez,MS,"Natchez, MS-LA",0.1012311
379,51565,Portsmouth,IA,"Omaha-Council Bluffs, NE-IA",0.10118715
380,42039,Fancy Farm,KY,"Mayfield, KY",0.10103456
381,66739,Galena,KS,,0.10103276
382,6226,Willimantic,CT,"Worcester, MA-CT",0.10091861
383,66064,Osawatomie,KS,"Kansas City, MO-KS",0.10084625
384,11235,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.10072767
385,57638,Lemmon,SD,,0.100727536
386,46991,Van Buren,IN,"Marion, IN",0.10069437
387,66087,,KS,"St. Joseph, MO-KS",0.100639865
388,67642,Hill City,KS,,0.10055533
389,47954,Ladoga,IN,"Crawfordsville, IN",0.10051546
390,68663,Silver Creek,NE,"Grand Island, NE",0.10047701
391,42337,Drakesboro,KY,"Central City, KY",0.10040561
392,25287,West Columbia,WV,"Point Pleasant, WV-OH",0.10039549
393,7666,Teaneck,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.10039182
394,57048,Montrose,SD,"Sioux Falls, SD",0.10036988
395,42733,Elk Horn,KY,"Campbellsville, KY",0.10030647
396,45363,Russia,OH,"Sidney, OH",0.100260586
397,61912,Ashmore,IL,"Charleston-Mattoon, IL",0.100183494
398,66434,Hiawatha,KS,,0.100158386
399,95132,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",0.10011084
400,64873,Wentworth,MO,"Joplin, MO",0.10009498
401,59457,Lewistown,MT,,0.09999749
402,42028,Burna,KY,"Paducah, KY-IL",0.09999198
403,39111,Magee,MS,"Jackson, MS",0.09998305
404,40336,Irvine,KY,"Richmond-Berea, KY",0.099828064
405,26164,Ravenswood,WV,"Charleston, WV",0.099726416
406,41519,Sidney,KY,,0.09970954
407,54966,Plainfield,WI,"Stevens Point, WI",0.099686645
408,61552,Mossville,IL,"Peoria, IL",0.09966648
409,13469,Stittville,NY,"Utica-Rome, NY",0.09965053
410,64475,Parnell,MO,"Maryville, MO",0.09941855
411,63462,Perry,MO,"Hannibal, MO",0.099412166
412,57015,Chancellor,SD,"Sioux Falls, SD",0.09939606
413,74469,Warner,OK,"Muskogee, OK",0.09937867
414,50440,Grafton,IA,"Mason City, IA",0.09931322
415,14592,York,NY,"Rochester, NY",0.09927278
416,42129,Edmonton,KY,"Glasgow, KY",0.09923044
417,67837,Sublette,KS,,0.09914604
418,51058,Sutherland,IA,,0.09912476
419,17976,Shenandoah,PA,"Pottsville, PA",0.0991041
420,38847,Golden,MS,"Tupelo, MS",0.09909188
421,8861,Perth Amboy,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.099068694
422,38921,Charleston,MS,,0.09900323
423,42069,Melber,KY,"Mayfield, KY",0.09899805
424,42054,Kirksey,KY,"Murray, KY",0.098996446
425,47116,Eckerty,IN,,0.09891412
426,50448,Kensett,IA,"Mason City, IA",0.09890598
427,42324,Belton,KY,"Central City, KY",0.09877672
428,53233,Milwaukee,WI,"Milwaukee-Waukesha, WI",0.098774396
429,44065,Newbury,OH,"Cleveland-Elyria, OH",0.09877328
430,67035,,KS,,0.09873162
431,61866,Rantoul,IL,"Champaign-Urbana, IL",0.09871362
432,15675,Penn,PA,"Pittsburgh, PA",0.09870261
433,67353,Moline,KS,,0.09867218
434,51237,George,IA,,0.09862939
435,8887,Branchburg Township,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.09862797
436,88352,Tularosa,NM,"Alamogordo, NM",0.098574504
437,68970,Red Cloud,NE,,0.0985634
438,40342,Lawrenceburg,KY,"Frankfort, KY",0.09831697
439,66743,Girard,KS,"Pittsburg, KS",0.09828035
440,85253,Paradise Valley,AZ,"Phoenix-Mesa-Chandler, AZ",0.0982387
441,63471,Taylor,MO,"Hannibal, MO",0.09823707
442,51530,Earling,IA,,0.09813199
443,67439,Ellsworth,KS,,0.09811563
444,46936,Greentown,IN,"Kokomo, IN",0.09800929
445,69211,Cody,NE,,0.097937375
446,18617,Glen Lyon,PA,"Scranton--Wilkes-Barre, PA",0.09788936
447,44870,Sandusky,OH,"Sandusky, OH",0.09786883
448,45302,Anna,OH,"Sidney, OH",0.097857654
449,23356,Greenbackville,VA,,0.09783359
450,62363,Pittsfield,IL,,0.097822264
451,61038,Garden Prairie,IL,"Rockford, IL",0.09782219
452,71322,Bunkie,LA,"Opelousas, LA",0.09773173
453,47967,New Richmond,IN,"Crawfordsville, IN",0.09767688
454,67552,Lewis,KS,,0.09760767
455,64097,Wellington,MO,"Kansas City, MO-KS",0.097602665
456,73573,,OK,,0.09759139
457,65066,Owensville,MO,,0.09748523
458,69345,Harrisburg,NE,"Scottsbluff, NE",0.09748096
459,66871,Waverly,KS,,0.09746108
460,26704,Augusta,WV,"Winchester, VA-WV",0.09743654
461,68859,,NE,,0.097422704
462,39082,Harrisville,MS,"Jackson, MS",0.09741831
463,7095,Woodbridge,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.0974091
464,54406,Amherst,WI,"Stevens Point, WI",0.09738574
465,13476,Vernon,NY,"Utica-Rome, NY",0.0973652
466,39176,Vaiden,MS,"Greenwood, MS",0.09733947
467,44099,Windsor,OH,"Ashtabula, OH",0.0973282
468,25705,Huntington,WV,"Huntington-Ashland, WV-KY-OH",0.09731721
469,49757,Mackinac Island,MI,,0.097267956
470,59464,Moore,MT,,0.09726421
471,67661,,KS,,0.097239085
472,45307,Bowersville,OH,"Dayton-Kettering, OH",0.097219884
473,26763,Green Spring,WV,"Winchester, VA-WV",0.09720558
474,14480,Lakeville,NY,"Rochester, NY",0.097131625
475,51062,Westfield,IA,,0.09711482
476,92606,Irvine,CA,"Los Angeles-Long Beach-Anaheim, CA",0.09699683
477,68310,Beatrice,NE,"Beatrice, NE",0.09696213
478,65662,Grovespring,MO,"Lebanon, MO",0.09692557
479,44502,Youngstown,OH,"Youngstown-Warren-Boardman, OH-PA",0.09692069
480,13122,New Woodstock,NY,"Syracuse, NY",0.09691498
481,67740,Hoxie,KS,,0.09691246
482,54241,Two Rivers,WI,"Manitowoc, WI",0.09687737
483,59446,Geraldine,MT,,0.09683795
484,10023,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.09683308
485,15827,Byrnedale,PA,"St. Marys, PA",0.09682685
486,18237,McAdoo,PA,"Pottsville, PA",0.09682622
487,41143,Grayson,KY,"Huntington-Ashland, WV-KY-OH",0.096819475
488,8902,North Brunswick,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.096771106
489,67834,Bucklin,KS,"Dodge City, KS",0.096689925
